source,target,value
ConfChamp,1,14
ConfChamp,2,33
ConfChamp,3,8
ConfChamp,4,5
ConfChamp,5,7
ConfChamp,6,3
Division,1,17
Division,2,21
Division,3,38
Division,4,30
Division,5,18
Division,6,16
SuperBowl,1,21
SuperBowl,2,9
SuperBowl,3,1
SuperBowl,4,3
SuperBowl,5,1
WildCard,3,21
WildCard,4,27
WildCard,5,43
WildCard,6,31
WorldChampion,1,18
WorldChampion,2,7
WorldChampion,3,2
WorldChampion,4,5
WorldChampion,5,1
WorldChampion,6,2
