(3) San Diego Padres,98,64,0.605,—,54–27,44–37,1998
(1) New York Yankees,98,64,0.605,—,48–33,50–31,1999
(4) Boston Red Sox,94,68,0.580,4,49–32,45–36,1999
(2) Cleveland Indians,97,65,0.599,—,47–34,50–31,1999
(3) Texas Rangers,95,67,0.586,—,51–30,44–37,1999
(1) Atlanta Braves,103,59,0.636,—,56–25,47–34,1999
(4) New York Mets,97,66,0.595,6½,49–32,48–34,1999
(3) Houston Astros,97,65,0.599,—,50–32,47–33,1999
(2) Arizona Diamondbacks,100,62,0.617,—,52–29,48–33,1999
(3) New York Yankees,87,74,0.540,—,44–36,43–38,2000
(1) Chicago White Sox,95,67,0.586,—,46–35,49–32,2000
(2) Oakland Athletics,91,70,0.565,—,47–34,44–36,2000
(4) Seattle Mariners,91,71,0.562,½,47–34,44–37,2000
(3) Atlanta Braves,95,67,0.586,—,51–30,44–37,2000
(4) New York Mets,94,68,0.580,1,55–26,39–42,2000
(2) St. Louis Cardinals,95,67,0.586,—,50–31,45–36,2000
(1) San Francisco Giants,97,65,0.599,—,55–26,42–39,2000
(2) New York Yankees,95,65,0.594,—,51–28,44–37,2001
(3) Cleveland Indians,91,71,0.562,—,44–36,47–35,2001
(1) Seattle Mariners,116,46,0.716,—,57–24,59–22,2001
(4) Oakland Athletics,102,60,0.630,14,53–28,49–32,2001
(3) Atlanta Braves,88,74,0.543,—,40–41,48–33,2001
(1) Houston Astros,93,69,0.574,—,44–37,49–32,2001
(4) St. Louis Cardinals,93,69,0.574,—,54–28,39–41,2001
(2) Arizona Diamondbacks,92,70,0.568,—,48–33,44–37,2001
(1) New York Yankees,103,58,0.640,—,52–28,51–30,2002
(3) Minnesota Twins,94,67,0.584,—,54–27,40–40,2002
(2) Oakland Athletics,103,59,0.636,—,54–27,49–32,2002
(4) Anaheim Angels,99,63,0.611,4,54–27,45–36,2002
(1) Atlanta Braves,101,59,0.631,—,52–28,49–31,2002
(3) St. Louis Cardinals,97,65,0.599,—,52–29,45–36,2002
(2) Arizona Diamondbacks,98,64,0.605,—,55–26,43–38,2002
(4) San Francisco Giants,95,66,0.590,2½,50–31,45–35,2002
(1) New York Yankees,101,61,0.623,—,50–32,51–29,2003
(4) Boston Red Sox,95,67,0.586,6,53–28,42–39,2003
(3) Minnesota Twins,90,72,0.556,—,48–33,42–39,2003
(2) Oakland Athletics,96,66,0.593,—,57–24,39–42,2003
(1) Atlanta Braves,101,61,0.623,—,55–26,46–35,2003
(4) Florida Marlins,91,71,0.562,10,53–28,38–43,2003
(3) Chicago Cubs,88,74,0.543,—,44–37,44–37,2003
(2) San Francisco Giants,100,61,0.621,—,57–24,43–37,2003
(1) New York Yankees,101,61,0.623,—,57–24,44–37,2004
(4) Boston Red Sox,98,64,0.605,3,55–26,43–38,2004
(3) Minnesota Twins,92,70,0.568,—,49–32,43–38,2004
(2) Anaheim Angels,92,70,0.568,—,45–36,47–34,2004
(2) Atlanta Braves,96,66,0.593,—,49–32,47–34,2004
(1) St. Louis Cardinals,105,57,0.648,—,53–28,52–29,2004
(4) Houston Astros,92,70,0.568,13,48–33,44–37,2004
(3) Los Angeles Dodgers,93,69,0.574,—,49–32,44–37,2004
(3) New York Yankees,95,67,0.586,—,53–28,42–39,2005
(4) Boston Red Sox,95,67,0.586,—,54–27,41–40,2005
(1) Chicago White Sox,99,63,0.611,—,47–34,52–29,2005
(2) Los Angeles Angels of Anaheim,95,67,0.586,—,49–32,46–35,2005
(2) Atlanta Braves,90,72,0.556,—,53–28,37–44,2005
(1) St. Louis Cardinals,100,62,0.617,—,50–31,50–31,2005
(4) Houston Astros,89,73,0.549,11,53–28,36–45,2005
(3) San Diego Padres,82,80,0.506,—,46–35,36–45,2005
(1) New York Yankees,97,65,0.599,—,50–31,47–34,2006
(2) Minnesota Twins,96,66,0.593,—,54–27,42–39,2006
(4) Detroit Tigers,95,67,0.586,1,46–35,49–32,2006
(3) Oakland Athletics,93,69,0.574,—,49–32,44–37,2006
(1) New York Mets,97,65,0.599,—,50–31,47–34,2006
(3) St. Louis Cardinals,83,78,0.516,—,49–31,34–47,2006
(2) San Diego Padres,88,74,0.543,—,43–38,45–36,2006
(4) Los Angeles Dodgers,88,74,0.543,—,49–32,39–42,2006
(1) Boston Red Sox,96,66,0.593,—,51–30,45–36,2007
(4) New York Yankees,94,68,0.580,2,52–29,42–39,2007
(2) Cleveland Indians,96,66,0.593,—,51–29,45–37,2007
(3) Los Angeles Angels of Anaheim,94,68,0.580,—,54–27,40–41,2007
(2) Philadelphia Phillies,89,73,0.549,—,47–34,42–39,2007
(3) Chicago Cubs,85,77,0.525,—,44–37,41–40,2007
(1) Arizona Diamondbacks,90,72,0.556,—,50–31,40–41,2007
(4) Colorado Rockies,90,73,0.552,½,51–31,39–42,2007
(2) Tampa Bay Rays,97,65,0.599,—,57–24,40–41,2008
(4) Boston Red Sox,95,67,0.586,2,56–25,39–42,2008
(3) Chicago White Sox,89,74,0.546,—,54–28,35–46,2008
(1) Los Angeles Angels of Anaheim,100,62,0.617,—,50–31,50–31,2008
(2) Philadelphia Phillies,92,70,0.568,—,48–33,44–37,2008
(1) Chicago Cubs,97,64,0.602,—,55–26,42–38,2008
(4) Milwaukee Brewers,90,72,0.556,7½,49–32,41–40,2008
(3) Los Angeles Dodgers,84,78,0.519,—,48–33,36–45,2008
(1) New York Yankees,103,59,0.636,—,57–24,46–35,2009
(4) Boston Red Sox,95,67,0.586,8,56–25,39–42,2009
(3) Minnesota Twins,87,76,0.534,—,49–33,38–43,2009
(2) Los Angeles Angels of Anaheim,97,65,0.599,—,49–32,48–33,2009
(2) Philadelphia Phillies,93,69,0.574,—,45–36,48–33,2009
(3) St. Louis Cardinals,91,71,0.562,—,46–35,45–36,2009
(1) Los Angeles Dodgers,95,67,0.586,—,50–31,45–36,2009
(4) Colorado Rockies,92,70,0.568,3,51–30,41–40,2009
(1) Tampa Bay Rays,96,66,.593,—,49–32,47–34,2010
(4) New York Yankees,95,67,.586,1,52–29,43–38,2010
(2) Minnesota Twins,94,68,.580,—,53–28,41–40,2010
(3) Texas Rangers,90,72,.556,—,51–30,39–42,2010
(3) Cincinnati Reds,91,71,.562,—,49–32,42–39,2010
(2) San Francisco Giants,92,70,.568,—,49–32,43–38,2010
(1) New York Yankees,97,65,.599,—,52–29,45–36,2011
(4) Tampa Bay Rays,91,71,.562,6,47–34,44–37,2011
(3) Detroit Tigers,95,67,.586,—,50–31,45–36,2011
(2) Texas Rangers,96,66,.593,—,52–29,44–37,2011
(1) Philadelphia Phillies,102,60,.630,—,52–29,50–31,2011
(2) Milwaukee Brewers,96,66,.593,—,57–24,39–42,2011
(4) St. Louis Cardinals,90,72,.556,6,45–36,45–36,2011
(3) Arizona Diamondbacks,94,68,.580,—,51–30,43–38,2011
(1) New York Yankees,95,67,0.586,—,51–30,44–37,2012
(5) Baltimore Orioles,93,69,0.574,2,47–34,46–35,2012
(3) Detroit Tigers,88,74,0.543,—,50–31,38–43,2012
(2) Oakland Athletics,94,68,0.580,—,50–31,44–37,2012
(4) Texas Rangers,93,69,0.574,1,50–31,43–38,2012
(1) Washington Nationals,98,64,0.605,—,50–31,48–33,2012
(4) Atlanta Braves,94,68,0.580,4,48–33,46–35,2012
(2) Cincinnati Reds,97,65,0.599,—,50–31,47–34,2012
(5) St. Louis Cardinals,88,74,0.543,9,50–31,38–43,2012
(3) San Francisco Giants,94,68,0.580,—,48–33,46–35,2012
(1) Boston Red Sox,97,65,0.599,—,53–28,44–37,2013
(5) Tampa Bay Rays,92,71,0.564,5½,51–30,41–41,2013
(3) Detroit Tigers,93,69,0.574,—,51–30,42–39,2013
(4) Cleveland Indians,92,70,0.568,1,51–30,41–40,2013
(2) Oakland Athletics,96,66,0.593,—,52–29,44–37,2013
(2) Atlanta Braves,96,66,0.593,—,56–25,40–41,2013
(1) St. Louis Cardinals,97,65,0.599,—,54–27,43–38,2013
(4) Pittsburgh Pirates,94,68,0.580,3,50–31,44–37,2013
(5) Cincinnati Reds,90,72,0.556,7,49–31,41–41,2013
(3) Los Angeles Dodgers,92,70,0.568,—,47–34,45–36,2013
(2) Baltimore Orioles,96,66,0.593,—,50–31,46–35,2014
(3) Detroit Tigers,90,72,0.556,—,45–36,45–36,2014
(4) Kansas City Royals,89,73,0.549,1,42–39,47–34,2014
(1) Los Angeles Angels of Anaheim,98,64,0.605,—,52–29,46–35,2014
(5) Oakland Athletics,88,74,0.543,10,48–33,40–41,2014
(1) Washington Nationals,96,66,0.593,—,51–30,45–36,2014
(3) St. Louis Cardinals,90,72,0.556,—,51–30,39–42,2014
(4) Pittsburgh Pirates,88,74,0.543,2,51–30,37–44,2014
(2) Los Angeles Dodgers,94,68,0.580,—,45–36,49–32,2014
(5) San Francisco Giants,88,74,0.543,6,45–36,43–38,2014
(2) Toronto Blue Jays,93,69,0.574,—,53–28,40–41,2015
(4) New York Yankees,87,75,0.537,6,45–36,42–39,2015
(1) Kansas City Royals,95,67,0.586,—,51–30,44–37,2015
(3) Texas Rangers,88,74,0.543,—,43–38,45–36,2015
(5) Houston Astros,86,76,0.531,2,53–28,33–48,2015
(3) New York Mets,90,72,0.556,—,49–32,41–40,2015
(1) St. Louis Cardinals,100,62,0.617,—,55–26,45–36,2015
(4) Pittsburgh Pirates,98,64,0.605,2,53–28,45–36,2015
