"sport","1st seed","2nd seed","3rd seed","4th seed","5th seed","6th seed","7th seed","8th seed"
"MLB",0.39,0.22,0.11,0.28,0,0,0,0
"NBA",0.7,0.16,0.11,0,0,0.03,0,0
"NFL",0.51,0.2,0.06,0.14,0.03,0.06,0,0
"NHL",0.37,0.26,0.16,0.11,0.05,0,0,0.05
